instance,data_set,n_items,strip_width,lower_bound,reference_height,bbf-best288,bf-LM,bf-SN,bf-TN,bfdh,bfs,ffdh,fh,ish-core,sas,sasm,sc,scr,sh-greedy,twbf-best18,cch_best_single,cch_enum864
C1P1,data/c,16,20,20,20,21,21,21,22,25,20,25,20,21,30,30,20,20,23,21,21,21
C1P2,data/c,17,20,20,20,21,22,22,22,31,26,29,21,23,31,27,25,24,23,21,24,21
C1P3,data/c,16,20,20,20,21,24,24,24,28,25,28,21,20,29,26,25,22,23,21,21,20
C2P1,data/c,25,40,15,15,16,17,17,16,17,17,17,16,16,26,21,17,17,16,16,17,16
C2P2,data/c,25,40,15,15,16,16,16,17,19,17,19,16,17,25,21,16,17,16,16,18,15
C2P3,data/c,25,40,15,15,15,18,17,17,17,17,16,15,15,26,19,16,16,16,17,16,15
C3P1,data/c,28,60,30,30,31,32,32,32,39,36,39,31,31,47,39,33,34,33,32,33,31
C3P2,data/c,29,60,30,30,32,34,34,34,36,36,36,32,33,51,42,36,36,32,33,34,31
C3P3,data/c,28,60,30,30,32,33,35,35,40,34,39,32,32,47,41,34,34,32,33,31,31
C4P1,data/c,49,60,60,60,62,63,65,64,80,66,78,61,65,84,76,68,67,70,63,63,62
C4P2,data/c,49,60,60,60,62,64,62,66,79,79,78,61,61,83,76,70,72,69,62,63,62
C4P3,data/c,49,60,60,60,61,62,63,63,73,63,72,61,62,83,81,63,63,68,62,65,61
C5P1,data/c,73,60,90,90,92,94,94,93,110,99,110,91,93,115,109,95,98,101,92,93,91
C5P2,data/c,73,60,90,90,91,93,96,92,117,106,113,91,93,120,119,101,99,95,92,92,91
C5P3,data/c,73,60,90,90,92,94,93,93,112,102,112,91,93,115,107,98,97,100,92,98,91
C6P1,data/c,97,80,120,120,122,124,127,123,159,129,159,121,123,162,149,127,128,144,123,122,121
C6P2,data/c,97,80,120,120,123,124,122,124,154,132,152,121,122,156,152,128,127,128,122,124,122
C6P3,data/c,97,80,120,120,121,124,125,128,160,137,158,121,123,154,138,129,126,137,123,125,121
C7P1,data/c,196,160,240,240,243,246,250,247,287,260,284,241,243,285,271,250,256,266,245,245,242
C7P2,data/c,197,160,240,240,244,246,246,244,309,259,305,241,249,305,276,249,255,254,244,244,241
C7P3,data/c,196,160,240,240,242,245,248,246,292,261,291,241,245,291,267,253,255,264,245,243,242
BKW01,data/bkw,10,40,40,40,40,48,47,47,46,40,46,40,40,60,46,40,40,40,40,40,40
BKW02,data/bkw,20,30,50,50,53,55,54,53,65,61,65,50,54,67,75,61,61,57,53,53,52
BKW03,data/bkw,30,30,50,50,52,54,54,64,68,57,68,51,53,68,63,54,54,57,52,53,51
BKW04,data/bkw,40,80,80,80,82,86,87,102,126,87,126,83,83,106,92,87,96,93,84,83,82
BKW05,data/bkw,50,100,100,100,103,105,106,105,119,109,119,103,106,149,144,109,106,112,104,106,102
BKW06,data/bkw,60,50,100,100,102,102,107,104,109,105,109,102,102,127,174,105,105,109,102,102,101
BKW07,data/bkw,70,80,100,100,104,110,110,107,161,121,160,102,116,164,164,118,118,127,108,116,102
BKW08,data/bkw,80,100,80,80,82,85,85,83,108,88,108,81,82,105,104,87,88,99,83,83,82
BKW09,data/bkw,100,50,150,150,152,163,163,163,182,164,181,153,152,204,239,160,161,171,154,152,151
BKW10,data/bkw,200,70,150,150,151,153,154,158,191,166,191,151,151,196,185,161,155,161,152,151,151
BKW11,data/bkw,300,70,150,150,151,153,154,153,170,156,169,151,151,210,248,156,154,160,152,152,151
BKW12,data/bkw,500,100,300,300,302,347,363,305,373,314,372,302,302,372,344,312,318,331,306,302,301
BKW13,data/bkw,3152,640,960,960,,968,968,965,1003,972,1003,960,964,1034,1002,972,975,,964,964,960
N1A,data/nt,17,200,200,200,220,229,229,229,297,262,297,239,219,275,274,262,263,246,226,217,217
N1B,data/nt,17,200,200,200,218,235,227,224,290,243,290,222,211,343,337,254,258,244,220,231,212
N1C,data/nt,17,200,200,200,214,261,227,230,278,278,278,230,200,328,286,278,278,231,217,221,206
N1D,data/nt,17,200,200,200,213,213,231,213,272,235,272,213,247,297,297,235,242,228,213,216,213
N1E,data/nt,17,200,200,200,216,232,232,220,249,240,238,216,223,258,258,230,230,227,220,216,213
N2A,data/nt,25,200,200,200,213,236,247,239,282,234,282,215,222,267,264,228,238,236,216,214,211
