instance,group,n_items,total_area,mean_aspect,lower_bound
PVA10001,a,100,991312,1.264,992
PVA10002,a,100,984298,1.253,985
PVA10003,a,100,1004245,1.216,1005
PVA10004,a,100,999878,1.238,1000
PVA10005,a,100,1005132,1.211,1006
PVA10006,a,100,972678,1.236,973
PVA10007,a,100,970404,1.238,971
PVA10008,a,100,1005702,1.239,1006
PVA10009,a,100,972944,1.249,973
PVA10010,a,100,1063753,1.257,1064
PVA10011,a,100,1025783,1.218,1026
PVA10012,a,100,979103,1.271,980
PVA10013,a,100,980281,1.246,981
PVA10014,a,100,965157,1.262,966
PVA10015,a,100,1060215,1.242,1061
PVA30001,a,300,3085575,1.230,3086
PVA30002,a,300,3151732,1.241,3152
PVA30003,a,300,2917103,1.262,2918
PVA30004,a,300,3025816,1.251,3026
PVA30005,a,300,3017722,1.240,3018
PVA30006,a,300,3109340,1.216,3110
PVA30007,a,300,3075100,1.243,3076
PVA30008,a,300,2987306,1.257,2988
PVA30009,a,300,3011896,1.242,3012
PVA30010,a,300,3045756,1.242,3046
PVA30011,a,300,2933083,1.251,2934
PVA30012,a,300,3028191,1.211,3029
PVA30013,a,300,3025919,1.238,3026
PVA30014,a,300,3076396,1.243,3077
PVA30015,a,300,3017782,1.226,3018
PVB10001,b,100,1506450,6.841,1507
PVB10002,b,100,1300456,6.970,1301
PVB10003,b,100,1270424,6.971,1271
PVB10004,b,100,1464959,6.809,1465
PVB10005,b,100,1367373,6.986,1368
PVB10006,b,100,1448398,6.981,1449
PVB10007,b,100,1276191,7.309,1277
PVB10008,b,100,1352769,6.961,1353
PVB10009,b,100,1335853,7.233,1336
PVB10010,b,100,1359198,7.217,1360
PVB10011,b,100,1336408,6.924,1337
PVB10012,b,100,1340883,6.650,1341
PVB10013,b,100,1348226,7.209,1349
PVB10014,b,100,1441495,6.788,1442
PVB10015,b,100,1409354,6.978,1410
PVB30001,b,300,4031312,6.933,4032
PVB30002,b,300,4028361,6.887,4029
PVB30003,b,300,3919547,6.936,3920
PVB30004,b,300,3995515,6.789,3996
PVB30005,b,300,4162234,6.960,4163
PVB30006,b,300,4101277,6.942,4102
PVB30007,b,300,4132719,7.062,4133
PVB30008,b,300,4171092,7.045,4172
PVB30009,b,300,3956168,6.934,3957
PVB30010,b,300,4168482,6.988,4169
PVB30011,b,300,4125641,7.128,4126
PVB30012,b,300,4041651,7.116,4042
PVB30013,b,300,3987000,7.000,3987
PVB30014,b,300,4158029,6.847,4159
PVB30015,b,300,4012497,6.908,4013
PVC10001,c,100,637317,1.280,638
PVC10002,c,100,684819,1.322,685
PVC10003,c,100,757446,1.265,758
PVC10004,c,100,679630,1.248,680
PVC10005,c,100,704511,1.250,705
PVC10006,c,100,700644,1.248,701
PVC10007,c,100,813364,1.265,814
PVC10008,c,100,721568,1.262,722
PVC10009,c,100,676759,1.254,677
PVC10010,c,100,719090,1.258,720
PVC10011,c,100,741662,1.277,742
PVC10012,c,100,763018,1.301,764
PVC10013,c,100,687545,1.242,688
PVC10014,c,100,781482,1.306,782
PVC10015,c,100,707908,1.264,708
PVC30001,c,300,2143161,1.277,2144
PVC30002,c,300,2172525,1.257,2173
PVC30003,c,300,2271093,1.256,2272
PVC30004,c,300,2111541,1.252,2112
PVC30005,c,300,2185422,1.275,2186
PVC30006,c,300,1977599,1.286,1978
PVC30007,c,300,2205804,1.263,2206
PVC30008,c,300,2186719,1.275,2187
PVC30009,c,300,2131562,1.257,2132
PVC30010,c,300,2198825,1.267,2199
PVC30011,c,300,2089526,1.279,2090
PVC30012,c,300,2206947,1.262,2207
PVC30013,c,300,2250279,1.269,2251
PVC30014,c,300,2257370,1.271,2258
PVC30015,c,300,2332472,1.260,2333
PVD10001,d,100,966629,5.119,967
PVD10002,d,100,981252,5.400,982
PVD10003,d,100,978506,5.680,979
PVD10004,d,100,886423,4.897,887
PVD10005,d,100,998728,5.662,999
PVD10006,d,100,920858,4.651,921
PVD10007,d,100,963967,5.150,964
PVD10008,d,100,1067408,5.420,1068
PVD10009,d,100,1053939,5.206,1054
PVD10010,d,100,961535,5.240,962
PVD10011,d,100,960565,5.061,961
PVD10012,d,100,1025045,5.455,1026
PVD10013,d,100,937802,5.137,938
PVD10014,d,100,845314,5.101,846
PVD10015,d,100,898595,5.207,899
PVD30001,d,300,3039244,5.365,3040
PVD30002,d,300,2746131,4.920,2747
PVD30003,d,300,2936129,5.077,2937
PVD30004,d,300,2798077,5.102,2799
PVD30005,d,300,2728654,4.723,2729
PVD30006,d,300,3024513,5.443,3025
PVD30007,d,300,2835848,4.994,2836
PVD30008,d,300,3165149,5.441,3166
PVD30009,d,300,2784705,5.170,2785
PVD30010,d,300,2986933,5.110,2987
PVD30011,d,300,2854472,5.140,2855
PVD30012,d,300,2985129,5.382,2986
PVD30013,d,300,3041237,5.091,3042
PVD30014,d,300,2789844,5.276,2790
PVD30015,d,300,2924484,5.161,2925
