instance,group,n_items,arm,ordering,selection,placement,tower_removal,vertical_niche,engine,height,lower_bound,gap_pct,raises,buried_pct,top_waste_pct,time_ms
PVA10001,a,100,grid,width,widest-fit,LM,F,F,measure,1091,992,9.9798,82,7.7695,2.2797,11.4
PVA10001,a,100,grid,width,widest-fit,LM,F,T,solve,1099,992,10.7863,,,,8.2
PVA10001,a,100,grid,width,widest-fit,LM,T,F,measure,1091,992,9.9798,82,7.7695,2.2797,11.4
PVA10001,a,100,grid,width,widest-fit,LM,T,T,solve,1099,992,10.7863,,,,8.4
PVA10001,a,100,grid,width,widest-fit,RM,F,F,measure,1076,992,8.4677,84,5.9192,2.6179,10.7
PVA10001,a,100,grid,width,widest-fit,RM,F,T,solve,1087,992,9.5766,,,,6.6
PVA10001,a,100,grid,width,widest-fit,RM,T,F,measure,1076,992,8.4677,84,5.9192,2.6179,10.8
PVA10001,a,100,grid,width,widest-fit,RM,T,T,solve,1087,992,9.5766,,,,7.2
PVA10001,a,100,grid,width,widest-fit,TN,F,F,measure,1076,992,8.4677,84,6.2093,2.3278,9.6
PVA10001,a,100,grid,width,widest-fit,TN,F,T,solve,1075,992,8.3669,,,,5.8
PVA10001,a,100,grid,width,widest-fit,TN,T,F,measure,1076,992,8.4677,84,6.2093,2.3278,9.5
PVA10001,a,100,grid,width,widest-fit,TN,T,T,solve,1075,992,8.3669,,,,8.9
PVA10001,a,100,grid,width,widest-fit,SN,F,F,measure,1116,992,12.5000,80,9.1839,3.3855,10.7
PVA10001,a,100,grid,width,widest-fit,SN,F,T,solve,1124,992,13.3065,,,,8.6
PVA10001,a,100,grid,width,widest-fit,SN,T,F,measure,1116,992,12.5000,80,9.1839,3.3855,9.9
PVA10001,a,100,grid,width,widest-fit,SN,T,T,solve,1124,992,13.3065,,,,9.3
PVA10001,a,100,grid,width,widest-fit,MinD,F,F,measure,1089,992,9.7782,82,6.9752,2.8724,12.6
PVA10001,a,100,grid,width,widest-fit,MinD,F,T,solve,1078,992,8.6694,,,,6.1
PVA10001,a,100,grid,width,widest-fit,MinD,T,F,measure,1089,992,9.7782,82,6.9752,2.8724,10.3
PVA10001,a,100,grid,width,widest-fit,MinD,T,T,solve,1078,992,8.6694,,,,6.9
PVA10001,a,100,grid,width,widest-fit,MaxD,F,F,measure,1095,992,10.3831,80,7.6152,2.8372,10.4
PVA10001,a,100,grid,width,widest-fit,MaxD,F,T,solve,1106,992,11.4919,,,,7.5
PVA10001,a,100,grid,width,widest-fit,MaxD,T,F,measure,1095,992,10.3831,80,7.6152,2.8372,11.3
PVA10001,a,100,grid,width,widest-fit,MaxD,T,T,solve,1106,992,11.4919,,,,7.6
