test,endpoint,scope,n,mean,sd,ci_lo,ci_hi,t,p
P1,buried% LM-TN,a,30,1.2990,0.6649,1.0507,1.5473,10.7010,0.0000
P1,buried% LM-TN,b,30,1.1799,0.4914,0.9965,1.3634,13.1526,0.0000
P1,buried% LM-TN,c,30,1.3206,0.4908,1.1373,1.5038,14.7379,0.0000
P1,buried% LM-TN,d,30,1.3212,0.3841,1.1777,1.4646,18.8400,0.0000
P1,buried% LM-TN,all,120,1.2802,0.5145,1.1872,1.3732,27.2582,0.0000
P1,gap% LM-TN,a,30,1.2209,0.6164,0.9908,1.4511,10.8488,0.0000
P1,gap% LM-TN,b,30,1.0599,0.8025,0.7602,1.3595,7.2341,0.0000
P1,gap% LM-TN,c,30,1.3775,0.6484,1.1354,1.6196,11.6368,0.0000
P1,gap% LM-TN,d,30,1.0437,1.1843,0.6015,1.4859,4.8269,0.0000
P1,gap% LM-TN,all,120,1.1755,0.8440,1.0229,1.3280,15.2570,0.0000
P2,top% TRoff-TRon,a,30,0.0333,0.1821,-0.0348,0.1013,1.0000,0.3256
P2,top% TRoff-TRon,b,30,3.8057,2.8988,2.7233,4.8882,7.1908,0.0000
P2,top% TRoff-TRon,c,30,0.0318,0.1742,-0.0332,0.0969,1.0000,0.3256
P2,top% TRoff-TRon,d,30,3.9764,3.5484,2.6515,5.3014,6.1380,0.0000
P2,top% TRoff-TRon,all,120,1.9618,2.9814,1.4229,2.5007,7.2082,0.0000
P2,buried% TRoff-TRon,a,30,-0.0199,0.1091,-0.0607,0.0208,-1.0000,0.3256
P2,buried% TRoff-TRon,b,30,-2.3706,1.8887,-3.0758,-1.6653,-6.8745,0.0000
P2,buried% TRoff-TRon,c,30,-0.0138,0.0758,-0.0421,0.0145,-1.0000,0.3256
P2,buried% TRoff-TRon,d,30,-2.2745,1.7922,-2.9437,-1.6053,-6.9513,0.0000
P2,buried% TRoff-TRon,all,120,-1.1697,1.7314,-1.4827,-0.8567,-7.4007,0.0000
P2,gap% TRoff-TRon,a,30,0.0133,0.0730,-0.0139,0.0406,1.0000,0.3256
P2,gap% TRoff-TRon,b,30,1.4352,1.5855,0.8432,2.0272,4.9581,0.0000
P2,gap% TRoff-TRon,c,30,0.0180,0.0984,-0.0188,0.0547,1.0000,0.3256
P2,gap% TRoff-TRon,d,30,1.7019,2.1957,0.8820,2.5218,4.2454,0.0002
P2,gap% TRoff-TRon,all,120,0.7921,1.5518,0.5116,1.0726,5.5916,0.0000
P3,bestgap% noVN-mix,a,30,-0.0565,0.5221,-0.2514,0.1385,-0.5926,0.5581
P3,bestgap% noVN-mix,b,30,0.1283,0.5632,-0.0820,0.3386,1.2479,0.2220
P3,bestgap% noVN-mix,c,30,-0.0760,1.0237,-0.4582,0.3063,-0.4064,0.6874
P3,bestgap% noVN-mix,d,30,0.1209,0.6150,-0.1087,0.3505,1.0770,0.2904
P3,bestgap% noVN-mix,all,120,0.0292,0.7075,-0.0987,0.1571,0.4521,0.6520
P3b,bestgap% noVNtrl-mix,a,30,-0.0565,0.5221,-0.2514,0.1385,-0.5926,0.5581
P3b,bestgap% noVNtrl-mix,b,30,0.1283,0.5632,-0.0820,0.3386,1.2479,0.2220
P3b,bestgap% noVNtrl-mix,c,30,-0.1104,0.9687,-0.4721,0.2513,-0.6243,0.5373
P3b,bestgap% noVNtrl-mix,d,30,0.1209,0.6150,-0.1087,0.3505,1.0770,0.2904
P3b,bestgap% noVNtrl-mix,all,120,0.0206,0.6898,-0.1041,0.1453,0.3269,0.7443
