axis,level_a,level_b,marginal_a,marginal_b,mean_diff,t_stat,sig
ordering,width,height,11.4932,19.1117,-7.6184,-14.94,**
ordering,width,area,11.4932,13.4152,-1.9220,-7.45,**
ordering,width,perimeter,11.4932,11.5437,-0.0505,-0.31,
ordering,width,maxside,11.4932,11.4932,0.0000,0.00,
ordering,width,diagonal,11.4932,11.6750,-0.1818,-1.06,
ordering,height,area,19.1117,13.4152,5.6964,12.31,**
ordering,height,perimeter,19.1117,11.5437,7.5680,14.46,**
ordering,height,maxside,19.1117,11.4932,7.6184,14.94,**
ordering,height,diagonal,19.1117,11.6750,7.4367,15.23,**
ordering,area,perimeter,13.4152,11.5437,1.8715,6.53,**
ordering,area,maxside,13.4152,11.4932,1.9220,7.45,**
ordering,area,diagonal,13.4152,11.6750,1.7402,6.34,**
ordering,perimeter,maxside,11.5437,11.4932,0.0505,0.31,
ordering,perimeter,diagonal,11.5437,11.6750,-0.1313,-1.03,
ordering,maxside,diagonal,11.4932,11.6750,-0.1818,-1.06,
selection,widest-fit,first-fit,10.4094,11.6247,-1.2153,-2.67,**
selection,widest-fit,tre,10.4094,11.9568,-1.5474,-3.69,**
selection,widest-fit,nre,10.4094,13.7453,-3.3359,-6.51,**
selection,widest-fit,fitness-number,10.4094,12.0112,-1.6018,-2.46,*
selection,widest-fit,max-area,10.4094,18.9848,-8.5754,-11.93,**
selection,first-fit,tre,11.6247,11.9568,-0.3321,-1.53,
selection,first-fit,nre,11.6247,13.7453,-2.1206,-6.86,**
selection,first-fit,fitness-number,11.6247,12.0112,-0.3864,-0.84,
selection,first-fit,max-area,11.6247,18.9848,-7.3601,-11.72,**
selection,tre,nre,11.9568,13.7453,-1.7885,-6.55,**
selection,tre,fitness-number,11.9568,12.0112,-0.0543,-0.11,
selection,tre,max-area,11.9568,18.9848,-7.0280,-11.63,**
selection,nre,fitness-number,13.7453,12.0112,1.7341,4.11,**
selection,nre,max-area,13.7453,18.9848,-5.2395,-8.14,**
selection,fitness-number,max-area,12.0112,18.9848,-6.9736,-10.23,**
placement,LM,RM,13.1721,13.2003,-0.0282,-0.42,
placement,LM,TN,13.1721,12.5256,0.6465,3.97,**
placement,LM,SN,13.1721,13.6237,-0.4516,-4.72,**
placement,LM,MinD,13.1721,13.0557,0.1164,1.33,
placement,LM,MaxD,13.1721,13.1547,0.0174,0.14,
placement,RM,TN,13.2003,12.5256,0.6746,4.13,**
placement,RM,SN,13.2003,13.6237,-0.4235,-3.99,**
placement,RM,MinD,13.2003,13.0557,0.1445,1.59,
placement,RM,MaxD,13.2003,13.1547,0.0455,0.36,
placement,TN,SN,12.5256,13.6237,-1.0981,-5.82,**
placement,TN,MinD,12.5256,13.0557,-0.5301,-3.32,**
placement,TN,MaxD,12.5256,13.1547,-0.6291,-5.13,**
placement,SN,MinD,13.6237,13.0557,0.5680,6.07,**
placement,SN,MaxD,13.6237,13.1547,0.4690,3.10,**
placement,MinD,MaxD,13.0557,13.1547,-0.0990,-0.73,
