instance,data_set,n_items,ordering,selection,placement,height,lower_bound,gap_pct
C1P1,data/c,16,width,widest-fit,LM,21,20,5.0000
C1P1,data/c,16,width,widest-fit,RM,21,20,5.0000
C1P1,data/c,16,width,widest-fit,TN,22,20,10.0000
C1P1,data/c,16,width,widest-fit,SN,21,20,5.0000
C1P1,data/c,16,width,widest-fit,MinD,21,20,5.0000
C1P1,data/c,16,width,widest-fit,MaxD,22,20,10.0000
C1P1,data/c,16,width,first-fit,LM,21,20,5.0000
C1P1,data/c,16,width,first-fit,RM,21,20,5.0000
C1P1,data/c,16,width,first-fit,TN,22,20,10.0000
C1P1,data/c,16,width,first-fit,SN,21,20,5.0000
C1P1,data/c,16,width,first-fit,MinD,21,20,5.0000
C1P1,data/c,16,width,first-fit,MaxD,22,20,10.0000
C1P1,data/c,16,width,tre,LM,21,20,5.0000
C1P1,data/c,16,width,tre,RM,21,20,5.0000
C1P1,data/c,16,width,tre,TN,22,20,10.0000
C1P1,data/c,16,width,tre,SN,21,20,5.0000
C1P1,data/c,16,width,tre,MinD,21,20,5.0000
C1P1,data/c,16,width,tre,MaxD,22,20,10.0000
C1P1,data/c,16,height,widest-fit,LM,21,20,5.0000
C1P1,data/c,16,height,widest-fit,RM,21,20,5.0000
C1P1,data/c,16,height,widest-fit,TN,22,20,10.0000
C1P1,data/c,16,height,widest-fit,SN,21,20,5.0000
C1P1,data/c,16,height,widest-fit,MinD,21,20,5.0000
C1P1,data/c,16,height,widest-fit,MaxD,22,20,10.0000
C1P1,data/c,16,height,first-fit,LM,25,20,25.0000
C1P1,data/c,16,height,first-fit,RM,26,20,30.0000
C1P1,data/c,16,height,first-fit,TN,25,20,25.0000
C1P1,data/c,16,height,first-fit,SN,26,20,30.0000
C1P1,data/c,16,height,first-fit,MinD,26,20,30.0000
C1P1,data/c,16,height,first-fit,MaxD,25,20,25.0000
C1P1,data/c,16,height,tre,LM,26,20,30.0000
C1P1,data/c,16,height,tre,RM,26,20,30.0000
C1P1,data/c,16,height,tre,TN,25,20,25.0000
C1P1,data/c,16,height,tre,SN,23,20,15.0000
C1P1,data/c,16,height,tre,MinD,23,20,15.0000
C1P1,data/c,16,height,tre,MaxD,25,20,25.0000
C1P1,data/c,16,area,widest-fit,LM,21,20,5.0000
C1P1,data/c,16,area,widest-fit,RM,21,20,5.0000
C1P1,data/c,16,area,widest-fit,TN,22,20,10.0000
C1P1,data/c,16,area,widest-fit,SN,21,20,5.0000
C1P1,data/c,16,area,widest-fit,MinD,21,20,5.0000
C1P1,data/c,16,area,widest-fit,MaxD,22,20,10.0000
C1P1,data/c,16,area,first-fit,LM,23,20,15.0000
C1P1,data/c,16,area,first-fit,RM,23,20,15.0000
C1P1,data/c,16,area,first-fit,TN,23,20,15.0000
C1P1,data/c,16,area,first-fit,SN,23,20,15.0000
C1P1,data/c,16,area,first-fit,MinD,23,20,15.0000
C1P1,data/c,16,area,first-fit,MaxD,23,20,15.0000
C1P1,data/c,16,area,tre,LM,23,20,15.0000
C1P1,data/c,16,area,tre,RM,23,20,15.0000
C1P1,data/c,16,area,tre,TN,23,20,15.0000
C1P1,data/c,16,area,tre,SN,23,20,15.0000
C1P1,data/c,16,area,tre,MinD,23,20,15.0000
C1P1,data/c,16,area,tre,MaxD,23,20,15.0000
C1P2,data/c,17,width,widest-fit,LM,25,20,25.0000
C1P2,data/c,17,width,widest-fit,RM,25,20,25.0000
C1P2,data/c,17,width,widest-fit,TN,25,20,25.0000
C1P2,data/c,17,width,widest-fit,SN,25,20,25.0000
C1P2,data/c,17,width,widest-fit,MinD,21,20,5.0000
C1P2,data/c,17,width,widest-fit,MaxD,25,20,25.0000
C1P2,data/c,17,width,first-fit,LM,25,20,25.0000
C1P2,data/c,17,width,first-fit,RM,25,20,25.0000
C1P2,data/c,17,width,first-fit,TN,25,20,25.0000
C1P2,data/c,17,width,first-fit,SN,25,20,25.0000
C1P2,data/c,17,width,first-fit,MinD,21,20,5.0000
C1P2,data/c,17,width,first-fit,MaxD,25,20,25.0000
C1P2,data/c,17,width,tre,LM,25,20,25.0000
C1P2,data/c,17,width,tre,RM,25,20,25.0000
C1P2,data/c,17,width,tre,TN,25,20,25.0000
C1P2,data/c,17,width,tre,SN,25,20,25.0000
C1P2,data/c,17,width,tre,MinD,21,20,5.0000
C1P2,data/c,17,width,tre,MaxD,25,20,25.0000
C1P2,data/c,17,height,widest-fit,LM,25,20,25.0000
C1P2,data/c,17,height,widest-fit,RM,25,20,25.0000
C1P2,data/c,17,height,widest-fit,TN,25,20,25.0000
C1P2,data/c,17,height,widest-fit,SN,25,20,25.0000
C1P2,data/c,17,height,widest-fit,MinD,21,20,5.0000
C1P2,data/c,17,height,widest-fit,MaxD,25,20,25.0000
C1P2,data/c,17,height,first-fit,LM,25,20,25.0000
C1P2,data/c,17,height,first-fit,RM,25,20,25.0000
C1P2,data/c,17,height,first-fit,TN,25,20,25.0000
C1P2,data/c,17,height,first-fit,SN,25,20,25.0000
C1P2,data/c,17,height,first-fit,MinD,25,20,25.0000
C1P2,data/c,17,height,first-fit,MaxD,24,20,20.0000
C1P2,data/c,17,height,tre,LM,23,20,15.0000
C1P2,data/c,17,height,tre,RM,24,20,20.0000
C1P2,data/c,17,height,tre,TN,23,20,15.0000
C1P2,data/c,17,height,tre,SN,24,20,20.0000
C1P2,data/c,17,height,tre,MinD,24,20,20.0000
C1P2,data/c,17,height,tre,MaxD,23,20,15.0000
C1P2,data/c,17,area,widest-fit,LM,25,20,25.0000
C1P2,data/c,17,area,widest-fit,RM,25,20,25.0000
C1P2,data/c,17,area,widest-fit,TN,25,20,25.0000
C1P2,data/c,17,area,widest-fit,SN,25,20,25.0000
C1P2,data/c,17,area,widest-fit,MinD,21,20,5.0000
C1P2,data/c,17,area,widest-fit,MaxD,25,20,25.0000
C1P2,data/c,17,area,first-fit,LM,22,20,10.0000
C1P2,data/c,17,area,first-fit,RM,22,20,10.0000
C1P2,data/c,17,area,first-fit,TN,22,20,10.0000
C1P2,data/c,17,area,first-fit,SN,23,20,15.0000
C1P2,data/c,17,area,first-fit,MinD,22,20,10.0000
C1P2,data/c,17,area,first-fit,MaxD,22,20,10.0000
C1P2,data/c,17,area,tre,LM,23,20,15.0000
C1P2,data/c,17,area,tre,RM,23,20,15.0000
C1P2,data/c,17,area,tre,TN,23,20,15.0000
C1P2,data/c,17,area,tre,SN,23,20,15.0000
C1P2,data/c,17,area,tre,MinD,23,20,15.0000
C1P2,data/c,17,area,tre,MaxD,23,20,15.0000
C1P3,data/c,16,width,widest-fit,LM,24,20,20.0000
C1P3,data/c,16,width,widest-fit,RM,24,20,20.0000
C1P3,data/c,16,width,widest-fit,TN,24,20,20.0000
C1P3,data/c,16,width,widest-fit,SN,24,20,20.0000
C1P3,data/c,16,width,widest-fit,MinD,24,20,20.0000
C1P3,data/c,16,width,widest-fit,MaxD,24,20,20.0000
C1P3,data/c,16,width,first-fit,LM,24,20,20.0000
C1P3,data/c,16,width,first-fit,RM,24,20,20.0000
C1P3,data/c,16,width,first-fit,TN,24,20,20.0000
C1P3,data/c,16,width,first-fit,SN,24,20,20.0000
C1P3,data/c,16,width,first-fit,MinD,24,20,20.0000
C1P3,data/c,16,width,first-fit,MaxD,24,20,20.0000
C1P3,data/c,16,width,tre,LM,24,20,20.0000
C1P3,data/c,16,width,tre,RM,24,20,20.0000
C1P3,data/c,16,width,tre,TN,24,20,20.0000
C1P3,data/c,16,width,tre,SN,24,20,20.0000
C1P3,data/c,16,width,tre,MinD,24,20,20.0000
C1P3,data/c,16,width,tre,MaxD,24,20,20.0000
C1P3,data/c,16,height,widest-fit,LM,24,20,20.0000
C1P3,data/c,16,height,widest-fit,RM,24,20,20.0000
C1P3,data/c,16,height,widest-fit,TN,24,20,20.0000
C1P3,data/c,16,height,widest-fit,SN,24,20,20.0000
C1P3,data/c,16,height,widest-fit,MinD,24,20,20.0000
C1P3,data/c,16,height,widest-fit,MaxD,24,20,20.0000
C1P3,data/c,16,height,first-fit,LM,23,20,15.0000
C1P3,data/c,16,height,first-fit,RM,23,20,15.0000
C1P3,data/c,16,height,first-fit,TN,22,20,10.0000
C1P3,data/c,16,height,first-fit,SN,23,20,15.0000
C1P3,data/c,16,height,first-fit,MinD,23,20,15.0000
C1P3,data/c,16,height,first-fit,MaxD,22,20,10.0000
C1P3,data/c,16,height,tre,LM,23,20,15.0000
C1P3,data/c,16,height,tre,RM,23,20,15.0000
C1P3,data/c,16,height,tre,TN,24,20,20.0000
C1P3,data/c,16,height,tre,SN,23,20,15.0000
C1P3,data/c,16,height,tre,MinD,23,20,15.0000
C1P3,data/c,16,height,tre,MaxD,24,20,20.0000
C1P3,data/c,16,area,widest-fit,LM,24,20,20.0000
C1P3,data/c,16,area,widest-fit,RM,24,20,20.0000
C1P3,data/c,16,area,widest-fit,TN,24,20,20.0000
C1P3,data/c,16,area,widest-fit,SN,24,20,20.0000
C1P3,data/c,16,area,widest-fit,MinD,24,20,20.0000
C1P3,data/c,16,area,widest-fit,MaxD,24,20,20.0000
C1P3,data/c,16,area,first-fit,LM,23,20,15.0000
C1P3,data/c,16,area,first-fit,RM,23,20,15.0000
C1P3,data/c,16,area,first-fit,TN,22,20,10.0000
C1P3,data/c,16,area,first-fit,SN,23,20,15.0000
