instance,data_set,n_items,algorithm,height,lower_bound,gap_pct
C1P1,data/c,16,bf-LM,21,20,5.0000
C1P1,data/c,16,bf-TN,22,20,10.0000
C1P1,data/c,16,bf-SN,21,20,5.0000
C1P1,data/c,16,bbf-best288,21,20,5.0000
C1P1,data/c,16,twbf-best18,21,20,5.0000
C1P1,data/c,16,ish-core,21,20,5.0000
C1P1,data/c,16,sh-greedy,23,20,15.0000
C1P1,data/c,16,ffdh,25,20,25.0000
C1P1,data/c,16,bfdh,25,20,25.0000
C1P1,data/c,16,sas,30,20,50.0000
C1P1,data/c,16,sasm,30,20,50.0000
C1P1,data/c,16,bfs,20,20,0.0000
C1P1,data/c,16,sc,20,20,0.0000
C1P1,data/c,16,scr,20,20,0.0000
C1P1,data/c,16,fh,20,20,0.0000
C1P2,data/c,17,bf-LM,22,20,10.0000
C1P2,data/c,17,bf-TN,22,20,10.0000
C1P2,data/c,17,bf-SN,22,20,10.0000
C1P2,data/c,17,bbf-best288,21,20,5.0000
C1P2,data/c,17,twbf-best18,21,20,5.0000
C1P2,data/c,17,ish-core,23,20,15.0000
C1P2,data/c,17,sh-greedy,23,20,15.0000
C1P2,data/c,17,ffdh,29,20,45.0000
C1P2,data/c,17,bfdh,31,20,55.0000
C1P2,data/c,17,sas,31,20,55.0000
C1P2,data/c,17,sasm,27,20,35.0000
C1P2,data/c,17,bfs,26,20,30.0000
C1P2,data/c,17,sc,25,20,25.0000
C1P2,data/c,17,scr,24,20,20.0000
C1P2,data/c,17,fh,21,20,5.0000
C1P3,data/c,16,bf-LM,24,20,20.0000
C1P3,data/c,16,bf-TN,24,20,20.0000
C1P3,data/c,16,bf-SN,24,20,20.0000
C1P3,data/c,16,bbf-best288,21,20,5.0000
C1P3,data/c,16,twbf-best18,21,20,5.0000
C1P3,data/c,16,ish-core,20,20,0.0000
C1P3,data/c,16,sh-greedy,23,20,15.0000
C1P3,data/c,16,ffdh,28,20,40.0000
C1P3,data/c,16,bfdh,28,20,40.0000
C1P3,data/c,16,sas,29,20,45.0000
C1P3,data/c,16,sasm,26,20,30.0000
C1P3,data/c,16,bfs,25,20,25.0000
C1P3,data/c,16,sc,25,20,25.0000
C1P3,data/c,16,scr,22,20,10.0000
C1P3,data/c,16,fh,21,20,5.0000
C2P1,data/c,25,bf-LM,17,15,13.3333
C2P1,data/c,25,bf-TN,16,15,6.6667
C2P1,data/c,25,bf-SN,17,15,13.3333
C2P1,data/c,25,bbf-best288,16,15,6.6667
C2P1,data/c,25,twbf-best18,16,15,6.6667
C2P1,data/c,25,ish-core,16,15,6.6667
C2P1,data/c,25,sh-greedy,16,15,6.6667
C2P1,data/c,25,ffdh,17,15,13.3333
C2P1,data/c,25,bfdh,17,15,13.3333
C2P1,data/c,25,sas,26,15,73.3333
C2P1,data/c,25,sasm,21,15,40.0000
C2P1,data/c,25,bfs,17,15,13.3333
C2P1,data/c,25,sc,17,15,13.3333
C2P1,data/c,25,scr,17,15,13.3333
C2P1,data/c,25,fh,16,15,6.6667
C2P2,data/c,25,bf-LM,16,15,6.6667
C2P2,data/c,25,bf-TN,17,15,13.3333
C2P2,data/c,25,bf-SN,16,15,6.6667
C2P2,data/c,25,bbf-best288,16,15,6.6667
C2P2,data/c,25,twbf-best18,16,15,6.6667
C2P2,data/c,25,ish-core,17,15,13.3333
C2P2,data/c,25,sh-greedy,16,15,6.6667
C2P2,data/c,25,ffdh,19,15,26.6667
C2P2,data/c,25,bfdh,19,15,26.6667
C2P2,data/c,25,sas,25,15,66.6667
C2P2,data/c,25,sasm,21,15,40.0000
C2P2,data/c,25,bfs,17,15,13.3333
C2P2,data/c,25,sc,16,15,6.6667
C2P2,data/c,25,scr,17,15,13.3333
C2P2,data/c,25,fh,16,15,6.6667
C2P3,data/c,25,bf-LM,18,15,20.0000
C2P3,data/c,25,bf-TN,17,15,13.3333
C2P3,data/c,25,bf-SN,17,15,13.3333
C2P3,data/c,25,bbf-best288,15,15,0.0000
C2P3,data/c,25,twbf-best18,17,15,13.3333
C2P3,data/c,25,ish-core,15,15,0.0000
C2P3,data/c,25,sh-greedy,16,15,6.6667
C2P3,data/c,25,ffdh,16,15,6.6667
C2P3,data/c,25,bfdh,17,15,13.3333
C2P3,data/c,25,sas,26,15,73.3333
C2P3,data/c,25,sasm,19,15,26.6667
C2P3,data/c,25,bfs,17,15,13.3333
C2P3,data/c,25,sc,16,15,6.6667
C2P3,data/c,25,scr,16,15,6.6667
C2P3,data/c,25,fh,15,15,0.0000
C3P1,data/c,28,bf-LM,32,30,6.6667
C3P1,data/c,28,bf-TN,32,30,6.6667
C3P1,data/c,28,bf-SN,32,30,6.6667
C3P1,data/c,28,bbf-best288,31,30,3.3333
C3P1,data/c,28,twbf-best18,32,30,6.6667
C3P1,data/c,28,ish-core,31,30,3.3333
C3P1,data/c,28,sh-greedy,33,30,10.0000
C3P1,data/c,28,ffdh,39,30,30.0000
C3P1,data/c,28,bfdh,39,30,30.0000
C3P1,data/c,28,sas,47,30,56.6667
C3P1,data/c,28,sasm,39,30,30.0000
C3P1,data/c,28,bfs,36,30,20.0000
C3P1,data/c,28,sc,33,30,10.0000
C3P1,data/c,28,scr,34,30,13.3333
C3P1,data/c,28,fh,31,30,3.3333
C3P2,data/c,29,bf-LM,34,30,13.3333
C3P2,data/c,29,bf-TN,34,30,13.3333
C3P2,data/c,29,bf-SN,34,30,13.3333
C3P2,data/c,29,bbf-best288,32,30,6.6667
C3P2,data/c,29,twbf-best18,33,30,10.0000
C3P2,data/c,29,ish-core,33,30,10.0000
C3P2,data/c,29,sh-greedy,32,30,6.6667
C3P2,data/c,29,ffdh,36,30,20.0000
C3P2,data/c,29,bfdh,36,30,20.0000
C3P2,data/c,29,sas,51,30,70.0000
C3P2,data/c,29,sasm,42,30,40.0000
C3P2,data/c,29,bfs,36,30,20.0000
C3P2,data/c,29,sc,36,30,20.0000
C3P2,data/c,29,scr,36,30,20.0000
C3P2,data/c,29,fh,32,30,6.6667
C3P3,data/c,28,bf-LM,33,30,10.0000
C3P3,data/c,28,bf-TN,35,30,16.6667
C3P3,data/c,28,bf-SN,35,30,16.6667
C3P3,data/c,28,bbf-best288,32,30,6.6667
C3P3,data/c,28,twbf-best18,33,30,10.0000
C3P3,data/c,28,ish-core,32,30,6.6667
C3P3,data/c,28,sh-greedy,32,30,6.6667
C3P3,data/c,28,ffdh,39,30,30.0000
C3P3,data/c,28,bfdh,40,30,33.3333
C3P3,data/c,28,sas,47,30,56.6667
C3P3,data/c,28,sasm,41,30,36.6667
C3P3,data/c,28,bfs,34,30,13.3333
C3P3,data/c,28,sc,34,30,13.3333
C3P3,data/c,28,scr,34,30,13.3333
C3P3,data/c,28,fh,32,30,6.6667
C4P1,data/c,49,bf-LM,63,60,5.0000
C4P1,data/c,49,bf-TN,64,60,6.6667
C4P1,data/c,49,bf-SN,65,60,8.3333
C4P1,data/c,49,bbf-best288,62,60,3.3333
C4P1,data/c,49,twbf-best18,63,60,5.0000
C4P1,data/c,49,ish-core,65,60,8.3333
C4P1,data/c,49,sh-greedy,70,60,16.6667
C4P1,data/c,49,ffdh,78,60,30.0000
C4P1,data/c,49,bfdh,80,60,33.3333
C4P1,data/c,49,sas,84,60,40.0000
C4P1,data/c,49,sasm,76,60,26.6667
C4P1,data/c,49,bfs,66,60,10.0000
C4P1,data/c,49,sc,68,60,13.3333
C4P1,data/c,49,scr,67,60,11.6667
C4P1,data/c,49,fh,61,60,1.6667
C4P2,data/c,49,bf-LM,64,60,6.6667
C4P2,data/c,49,bf-TN,66,60,10.0000
C4P2,data/c,49,bf-SN,62,60,3.3333
C4P2,data/c,49,bbf-best288,62,60,3.3333
C4P2,data/c,49,twbf-best18,62,60,3.3333
C4P2,data/c,49,ish-core,61,60,1.6667
C4P2,data/c,49,sh-greedy,69,60,15.0000
C4P2,data/c,49,ffdh,78,60,30.0000
C4P2,data/c,49,bfdh,79,60,31.6667
C4P2,data/c,49,sas,83,60,38.3333
C4P2,data/c,49,sasm,76,60,26.6667
C4P2,data/c,49,bfs,79,60,31.6667
C4P2,data/c,49,sc,70,60,16.6667
C4P2,data/c,49,scr,72,60,20.0000
C4P2,data/c,49,fh,61,60,1.6667
C4P3,data/c,49,bf-LM,62,60,3.3333
C4P3,data/c,49,bf-TN,63,60,5.0000
C4P3,data/c,49,bf-SN,63,60,5.0000
C4P3,data/c,49,bbf-best288,61,60,1.6667
C4P3,data/c,49,twbf-best18,62,60,3.3333
C4P3,data/c,49,ish-core,62,60,3.3333
C4P3,data/c,49,sh-greedy,68,60,13.3333
C4P3,data/c,49,ffdh,72,60,20.0000
C4P3,data/c,49,bfdh,73,60,21.6667
C4P3,data/c,49,sas,83,60,38.3333
C4P3,data/c,49,sasm,81,60,35.0000
C4P3,data/c,49,bfs,63,60,5.0000
C4P3,data/c,49,sc,63,60,5.0000
C4P3,data/c,49,scr,63,60,5.0000
C4P3,data/c,49,fh,61,60,1.6667
C5P1,data/c,73,bf-LM,94,90,4.4444
C5P1,data/c,73,bf-TN,93,90,3.3333
C5P1,data/c,73,bf-SN,94,90,4.4444
C5P1,data/c,73,bbf-best288,92,90,2.2222
C5P1,data/c,73,twbf-best18,92,90,2.2222
C5P1,data/c,73,ish-core,93,90,3.3333
C5P1,data/c,73,sh-greedy,101,90,12.2222
C5P1,data/c,73,ffdh,110,90,22.2222
C5P1,data/c,73,bfdh,110,90,22.2222
C5P1,data/c,73,sas,115,90,27.7778
C5P1,data/c,73,sasm,109,90,21.1111
