instance,core,seed,initial,best,lb,gap_pct,elapsed_s,packs
C1P1,classic-bf,2,21,20,20,0.0000,0.1,508
C1P1,classic-bf,4,21,20,20,0.0000,0.2,380
C1P1,classic-bf,7,21,20,20,0.0000,0.2,1329
C1P1,classic-bf,8,21,20,20,0.0000,0.2,821
C1P1,classic-bf,9,21,20,20,0.0000,0.1,632
C1P1,classic-bf,10,21,20,20,0.0000,0.4,1737
C1P1,classic-bf,3,21,20,20,0.0000,0.8,3950
C1P1,classic-bf,1,21,20,20,0.0000,1.5,6142
C1P1,classic-bf,6,21,20,20,0.0000,1.7,5424
C1P1,stage1-best,1,22,20,20,0.0000,1.3,4145
C1P1,classic-bf,5,21,20,20,0.0000,2.8,11725
C1P1,stage1-best,2,22,20,20,0.0000,4.5,19247
C1P1,stage1-best,7,22,20,20,0.0000,2.7,12599
C1P1,stage1-best,6,22,20,20,0.0000,5.4,24025
C1P1,stage1-best,5,22,20,20,0.0000,6.4,30652
C1P1,stage2-best,1,21,20,20,0.0000,0.0,8
C1P1,stage2-best,2,21,20,20,0.0000,0.0,10
C1P1,stage2-best,3,21,20,20,0.0000,0.0,14
C1P1,stage2-best,4,21,20,20,0.0000,0.0,27
C1P1,stage2-best,5,21,20,20,0.0000,0.0,29
C1P1,stage2-best,6,21,20,20,0.0000,0.0,12
C1P1,stage2-best,7,21,20,20,0.0000,0.0,22
C1P1,stage2-best,8,21,20,20,0.0000,0.0,15
C1P1,stage2-best,9,21,20,20,0.0000,0.0,60
C1P1,stage2-best,10,21,20,20,0.0000,0.0,15
C1P2,classic-bf,1,25,20,20,0.0000,0.4,1673
C1P2,classic-bf,2,25,20,20,0.0000,0.0,135
C1P1,stage1-best,4,22,20,20,0.0000,7.2,34749
C1P2,classic-bf,3,25,20,20,0.0000,0.3,1654
C1P1,stage1-best,3,22,20,20,0.0000,8.1,39047
C1P2,classic-bf,5,25,20,20,0.0000,0.0,247
C1P2,classic-bf,6,25,20,20,0.0000,0.0,52
C1P2,classic-bf,8,25,20,20,0.0000,0.1,426
C1P2,classic-bf,9,25,20,20,0.0000,0.0,198
C1P2,classic-bf,4,25,20,20,0.0000,0.2,1513
C1P2,classic-bf,10,25,20,20,0.0000,0.0,292
C1P2,classic-bf,7,25,20,20,0.0000,0.3,1657
C1P1,stage1-best,8,22,20,20,0.0000,7.0,35151
C1P2,stage1-best,1,22,20,20,0.0000,3.5,17417
C1P1,stage1-best,10,22,20,20,0.0000,6.8,33993
C1P2,stage1-best,2,22,20,20,0.0000,6.7,33618
C1P2,stage1-best,5,22,20,20,0.0000,4.5,20125
C1P2,stage1-best,6,22,20,20,0.0000,3.9,19960
C1P2,stage1-best,4,22,20,20,0.0000,7.3,37326
C1P2,stage1-best,8,22,20,20,0.0000,2.6,12633
C1P2,stage2-best,1,22,20,20,0.0000,0.1,257
C1P2,stage2-best,2,22,20,20,0.0000,0.0,57
C1P2,stage2-best,3,22,20,20,0.0000,0.0,32
C1P2,stage2-best,4,22,20,20,0.0000,0.1,222
C1P2,stage2-best,5,22,20,20,0.0000,0.1,155
C1P2,stage2-best,6,22,20,20,0.0000,0.7,1283
C1P2,stage2-best,7,22,20,20,0.0000,0.0,140
C1P2,stage1-best,9,22,20,20,0.0000,3.4,15215
C1P2,stage2-best,9,22,20,20,0.0000,0.0,207
C1P2,stage2-best,10,22,20,20,0.0000,0.1,268
C1P3,classic-bf,1,21,20,20,0.0000,0.1,318
C1P3,classic-bf,2,21,20,20,0.0000,0.0,108
C1P3,classic-bf,3,21,20,20,0.0000,0.0,13
C1P3,classic-bf,4,21,20,20,0.0000,0.0,117
C1P3,classic-bf,5,21,20,20,0.0000,0.0,62
C1P3,classic-bf,6,21,20,20,0.0000,0.0,20
C1P2,stage2-best,8,22,20,20,0.0000,0.7,1510
C1P3,classic-bf,7,21,20,20,0.0000,0.0,218
C1P3,classic-bf,9,21,20,20,0.0000,0.0,22
C1P3,classic-bf,10,21,20,20,0.0000,0.0,18
C1P3,classic-bf,8,21,20,20,0.0000,0.2,465
C1P3,stage1-best,1,22,20,20,0.0000,0.5,2058
C1P3,stage1-best,3,22,20,20,0.0000,0.3,1292
C1P3,stage1-best,2,22,20,20,0.0000,0.6,3064
C1P3,stage1-best,4,22,20,20,0.0000,0.2,600
C1P3,stage1-best,5,22,20,20,0.0000,0.3,918
C1P3,stage1-best,7,22,20,20,0.0000,0.3,1405
C1P3,stage1-best,8,22,20,20,0.0000,0.4,1549
