instance,selection,placement,raises,buried_area,buried_pct,top_waste_pct,exact_fill_pct,mean_residual
C1P1,widest-fit,LM,3,10,2.5,2.5,43.75,3.7777777777777777
C1P1,widest-fit,RM,3,10,2.5,2.5,43.75,3.7777777777777777
C1P1,widest-fit,TN,5,8,2.0,8.0,31.25,2.272727272727273
C1P1,widest-fit,SN,3,10,2.5,2.5,43.75,3.7777777777777777
C1P1,widest-fit,MinD,3,10,2.5,2.5,43.75,3.7777777777777777
C1P1,widest-fit,MaxD,5,8,2.0,8.0,31.25,2.272727272727273
C1P1,first-fit,LM,2,16,4.0,11.0,43.75,3
C1P1,first-fit,RM,2,16,4.0,11.0,43.75,3
C1P1,first-fit,TN,4,13,3.25,6.75,37.5,3.3
C1P1,first-fit,SN,2,16,4.0,11.0,43.75,3
C1P1,first-fit,MinD,5,27,6.75,8.25,25.0,3.1666666666666665
C1P1,first-fit,MaxD,4,20,5.0,5.0,37.5,3.1
C1P1,fitness-number,LM,0,0,0.0,5.0,37.5,5.6
C1P1,fitness-number,RM,0,0,0.0,5.0,37.5,5.6
C1P1,fitness-number,TN,0,0,0.0,5.0,37.5,5.6
C1P1,fitness-number,SN,0,0,0.0,5.0,37.5,5.6
C1P1,fitness-number,MinD,0,0,0.0,5.0,37.5,5.6
C1P1,fitness-number,MaxD,0,0,0.0,5.0,37.5,5.6
C1P1,max-area,LM,2,7,1.75,33.25,43.75,3.3333333333333335
C1P1,max-area,RM,2,7,1.75,33.25,43.75,3.3333333333333335
C1P1,max-area,TN,4,8,2.0,33.0,31.25,2.909090909090909
C1P1,max-area,SN,2,7,1.75,33.25,43.75,3.3333333333333335
C1P1,max-area,MinD,3,10,2.5,32.5,37.5,3.2
C1P1,max-area,MaxD,4,8,2.0,33.0,31.25,2.909090909090909
C1P2,widest-fit,LM,0,0,0.0,25.0,58.8235294117647,2.4285714285714284
C1P2,widest-fit,RM,0,0,0.0,25.0,58.8235294117647,2.4285714285714284
C1P2,widest-fit,TN,0,0,0.0,25.0,58.8235294117647,2.4285714285714284
C1P2,widest-fit,SN,0,0,0.0,25.0,58.8235294117647,2.857142857142857
C1P2,widest-fit,MinD,0,0,0.0,5.0,58.8235294117647,2.142857142857143
C1P2,widest-fit,MaxD,0,0,0.0,25.0,58.8235294117647,2.4285714285714284
