instance,n_items,ordering,selection,placement,tower,height,lower_bound,gap_pct
ZDF1,580,width,widest-fit,LM,False,336,330,1.8182
ZDF1,580,width,widest-fit,LM,True,336,330,1.8182
ZDF1,580,width,widest-fit,RM,False,336,330,1.8182
ZDF1,580,width,widest-fit,RM,True,336,330,1.8182
ZDF1,580,width,widest-fit,TN,False,355,330,7.5758
ZDF1,580,width,widest-fit,TN,True,355,330,7.5758
ZDF1,580,width,widest-fit,SN,False,338,330,2.4242
ZDF1,580,width,widest-fit,SN,True,338,330,2.4242
ZDF1,580,width,widest-fit,MinD,False,335,330,1.5152
ZDF1,580,width,widest-fit,MinD,True,335,330,1.5152
ZDF1,580,width,widest-fit,MaxD,False,336,330,1.8182
ZDF1,580,width,widest-fit,MaxD,True,336,330,1.8182
ZDF1,580,width,first-fit,LM,False,335,330,1.5152
ZDF1,580,width,first-fit,LM,True,335,330,1.5152
ZDF1,580,width,first-fit,RM,False,338,330,2.4242
ZDF1,580,width,first-fit,RM,True,338,330,2.4242
ZDF1,580,width,first-fit,TN,False,337,330,2.1212
ZDF1,580,width,first-fit,TN,True,337,330,2.1212
ZDF1,580,width,first-fit,SN,False,340,330,3.0303
ZDF1,580,width,first-fit,SN,True,340,330,3.0303
ZDF1,580,width,first-fit,MinD,False,337,330,2.1212
ZDF1,580,width,first-fit,MinD,True,337,330,2.1212
ZDF1,580,width,first-fit,MaxD,False,340,330,3.0303
ZDF1,580,width,first-fit,MaxD,True,340,330,3.0303
ZDF1,580,width,tre,LM,False,333,330,0.9091
ZDF1,580,width,tre,LM,True,333,330,0.9091
ZDF1,580,width,tre,RM,False,333,330,0.9091
ZDF1,580,width,tre,RM,True,333,330,0.9091
ZDF1,580,width,tre,TN,False,333,330,0.9091
ZDF1,580,width,tre,TN,True,333,330,0.9091
ZDF1,580,width,tre,SN,False,334,330,1.2121
ZDF1,580,width,tre,SN,True,334,330,1.2121
ZDF1,580,width,tre,MinD,False,333,330,0.9091
ZDF1,580,width,tre,MinD,True,333,330,0.9091
ZDF1,580,width,tre,MaxD,False,334,330,1.2121
